hc,wc,length,Tamb,Q,Uin,PressurePaPressureProbe3
1,0.75,60,20,1272,7.75,1174.1
1,0.75,60,40,1272,7.75,1206.3
1,0.75,60,-20,3132,7.75,1141.4
1,0.75,60,20,3132,7.75,1203.2
1,0.75,60,40,3132,7.75,1235.7
1,0.75,60,20,5040,7.75,1230.9
1,0.75,60,40,5040,7.75,1263.6
1,0.75,60,-20,1272,10,1543.4
1,0.75,60,0,1272,10,1579.9
1,0.75,60,20,1272,10,1615.8
1,0.75,60,40,1272,10,1650.3
1,0.75,60,-20,3132,10,1577.6
1,0.75,60,20,3132,10,1649.8
1,0.75,60,40,3132,10,1684.5
1,0.75,60,-20,5040,10,1610.1
1,0.75,60,0,5040,10,1646.7
1,0.75,60,20,5040,10,1682.5
1,0.75,60,40,5040,10,1717.6
1,0.75,90,-20,1272,1,166.21
1,0.75,90,0,1272,1,173.68
1,0.75,90,40,1272,1,187.16
1,0.75,90,20,3132,1,220.81
1,0.75,90,40,3132,1,229.4
1,0.75,90,-20,5040,1,244.88
1,0.75,90,0,5040,1,256.27
1,0.75,90,40,5040,1,276.89
1,0.75,90,-20,1272,3.25,578.41
1,0.75,90,0,1272,3.25,604.11
1,0.75,90,20,1272,3.25,628.54
1,0.75,90,40,1272,3.25,651.31
1,0.75,90,-20,3132,3.25,615.37
1,0.75,90,0,3132,3.25,644.54
1,0.75,90,20,3132,3.25,672.11
1,0.75,90,-20,5040,3.25,652.89
1,0.75,90,-20,1272,5.5,1050.1
1,0.75,90,0,1272,5.5,1089.3
1,0.75,90,20,1272,5.5,1129
1,0.75,90,40,1272,5.5,1167.9
1,0.75,90,-20,3132,5.5,1094.9
1,0.75,90,20,3132,5.5,1179.7
1,0.75,90,40,3132,5.5,1220.9
1,0.75,90,-20,5040,5.5,1138.3
1,0.75,90,0,1272,7.75,1634.4
1,0.75,90,20,1272,7.75,1685.5
1,0.75,90,40,1272,7.75,1735.8
1,0.75,90,-20,3132,7.75,1640.4
1,0.75,90,20,3132,7.75,1743.4
1,0.75,90,40,3132,7.75,1795.4
1,0.75,90,0,5040,7.75,1744.9
1,0.75,90,20,5040,7.75,1798.9
1,0.75,90,0,1272,10,2242
1,0.75,90,20,1272,10,2303.3
1,0.75,90,40,1272,10,2361.7
1,0.75,90,0,3132,10,2307.7
1,0.75,90,20,3132,10,2368.9
1,0.75,90,40,3132,10,2428.1
1,0.75,90,20,5040,10,2431.8
1,0.75,90,40,5040,10,2492.7
1,1,30,-20,1272,1,36.794
1,1,30,0,1272,1,38.618
