hc,wc,length,Tamb,Q,Uin,TemperaturedegCStackTemperatureProbe1
1,0.75,60,-20,1272,7.75,-16.298
1,0.75,60,0,1272,7.75,3.8135
1,0.75,60,20,1272,7.75,23.929
1,0.75,60,40,1272,7.75,44.046
1,0.75,60,-20,3132,7.75,-10.885
1,0.75,60,20,3132,7.75,29.666
1,0.75,60,40,3132,7.75,49.954
1,0.75,60,20,5040,7.75,35.566
1,0.75,60,40,5040,7.75,56.024
1,0.75,60,-20,1272,10,-16.863
1,0.75,60,0,1272,10,3.2125
1,0.75,60,20,1272,10,23.293
1,0.75,60,40,1272,10,43.379
1,0.75,60,-20,3132,10,-12.287
1,0.75,60,20,3132,10,28.096
1,0.75,60,40,3132,10,48.306
1,0.75,60,-20,5040,10,-7.5869
1,0.75,60,0,5040,10,12.706
1,0.75,60,20,5040,10,33.022
1,0.75,60,40,5040,10,53.357
1,0.75,90,-20,1272,1,8.1896
1,0.75,90,0,1272,1,30.198
1,0.75,90,40,1272,1,74.243
1,0.75,90,20,3132,1,99.011
1,0.75,90,40,3132,1,123.88
1,0.75,90,-20,5040,1,91.022
1,0.75,90,0,5040,1,118.69
1,0.75,90,40,5040,1,174.08
1,0.75,90,-20,1272,3.25,-10.357
1,0.75,90,0,1272,3.25,10.17
1,0.75,90,20,1272,3.25,30.707
1,0.75,90,40,1272,3.25,51.25
1,0.75,90,-20,3132,3.25,3.7957
1,0.75,90,0,3132,3.25,25.051
1,0.75,90,20,3132,3.25,46.337
1,0.75,90,-20,5040,3.25,18.403
1,0.75,90,-20,1272,5.5,-13.708
1,0.75,90,0,1272,5.5,6.5749
1,0.75,90,20,1272,5.5,26.863
1,0.75,90,40,1272,5.5,47.156
1,0.75,90,-20,3132,5.5,-4.5039
1,0.75,90,20,3132,5.5,36.871
1,0.75,90,40,3132,5.5,57.582
1,0.75,90,-20,5040,5.5,4.9758
1,0.75,90,0,1272,7.75,5.0418
1,0.75,90,20,1272,7.75,25.231
1,0.75,90,40,1272,7.75,45.425
1,0.75,90,-20,3132,7.75,-8.0588
1,0.75,90,20,3132,7.75,32.852
1,0.75,90,40,3132,7.75,53.325
1,0.75,90,0,5040,7.75,19.934
1,0.75,90,20,5040,7.75,40.665
1,0.75,90,0,1272,10,4.1783
1,0.75,90,20,1272,10,24.315
1,0.75,90,40,1272,10,44.456
1,0.75,90,0,3132,10,10.263
1,0.75,90,20,3132,10,30.597
1,0.75,90,40,3132,10,50.943
1,0.75,90,20,5040,10,37.03
1,0.75,90,40,5040,10,57.58
1,1,30,-20,1272,1,-7.8216
1,1,30,0,1272,1,12.745
1,1,30,20,1272,1,33.349
1,1,30,40,1272,1,53.985
1,1,30,-20,3132,1,10.528
1,1,30,0,3132,1,31.889
1,1,30,0,5040,1,51.278
1,1,30,20,5040,1,73.61
1,1,30,40,5040,1,96.032
1,1,30,0,1272,3.25,5.083
1,1,30,40,1272,3.25,45.333
1,1,30,-20,3132,3.25,-7.3444
1,1,30,20,3132,3.25,33.148
1,1,30,40,3132,3.25,53.417
1,1,30,-20,5040,3.25,0.83557
1,1,30,0,5040,3.25,21.234
1,1,30,-20,1272,5.5,-16.395
1,1,30,0,1272,5.5,3.653
1,1,30,20,1272,5.5,23.707
1,1,30,40,1272,5.5,43.767
1,1,30,-20,3132,5.5,-11.012
1,1,30,0,3132,5.5,9.105
1,1,30,20,3132,5.5,29.233
1,1,30,40,3132,5.5,49.371
1,1,30,-20,5040,5.5,-5.3425
1,1,30,20,5040,5.5,35.065
1,1,30,40,5040,5.5,55.284
1,1,30,-20,1272,7.75,-17.009
1,1,30,0,1272,7.75,3.0165
1,1,30,20,1272,7.75,23.046
1,1,30,40,1272,7.75,43.079
1,1,30,20,3132,7.75,27.526
1,1,30,-20,5040,7.75,-8.0324
1,1,30,0,5040,7.75,12.072
1,1,30,20,5040,7.75,32.191
1,1,30,-20,1272,10,-17.377
1,1,30,20,1272,10,22.658
1,1,30,40,1272,10,42.679
1,1,30,-20,3132,10,-13.542
1,1,30,0,3132,10,6.4979
1,1,30,20,3132,10,26.546
1,1,30,40,3132,10,46.598
1,1,30,-20,5040,10,-9.5817
1,1,30,0,5040,10,10.483
1,1,30,40,5040,10,50.643
1,1,60,-20,1272,1,0.62827
1,1,60,0,1272,1,21.864
1,1,60,40,1272,1,64.438
1,1,60,-20,3132,1,31.046
1,1,60,0,3132,1,54.042
1,1,60,20,3132,1,77.107
1,1,60,-20,5040,1,61.69
1,1,60,20,5040,1,111.46
1,1,60,40,5040,1,136.46
1,1,60,-20,1272,3.25,-12.363
1,1,60,0,1272,3.25,7.9385
1,1,60,20,1272,3.25,28.25
1,1,60,40,1272,3.25,48.572
1,1,60,-20,3132,3.25,-0.78114
1,1,60,0,3132,3.25,19.911
1,1,60,20,3132,3.25,40.619
1,1,60,40,3132,3.25,61.35
1,1,60,-20,5040,3.25,11.343
1,1,60,0,5040,3.25,32.461
1,1,60,20,5040,3.25,53.579
1,1,60,40,5040,3.25,74.717
1,1,60,40,1272,5.5,45.713
1,1,60,-20,3132,5.5,-7.0172
1,1,60,0,3132,5.5,13.359
1,1,60,0,5040,5.5,21.699
1,1,60,20,5040,5.5,42.324
1,1,60,40,5040,5.5,62.96
1,1,60,-20,1272,7.75,-15.822
1,1,60,0,1272,7.75,4.2766
1,1,60,20,1272,7.75,24.379
1,1,60,40,1272,7.75,44.486
1,1,60,-20,3132,7.75,-9.6858
1,1,60,0,3132,7.75,10.553
1,1,60,20,3132,7.75,30.801
1,1,60,40,3132,7.75,51.062
1,1,60,-20,5040,7.75,-3.325
1,1,60,0,5040,7.75,17.058
1,1,60,20,5040,7.75,37.453
1,1,60,40,5040,7.75,57.868
1,1,60,-20,1272,10,-16.425
1,1,60,0,1272,10,3.6428
1,1,60,20,1272,10,23.715
1,1,60,40,1272,10,43.79
1,1,60,-20,3132,10,-11.2
1,1,60,-20,5040,10,-5.8118
1,1,60,0,5040,10,14.452
1,1,60,20,5040,10,34.729
1,1,60,40,5040,10,55.023
1,1.25,30,0,1272,1,13.187
1,1.25,30,20,1272,1,33.757
1,1.25,30,40,1272,1,54.361
1,1.25,30,-20,3132,1,11.813
1,1.25,30,0,3132,1,33.1
1,1.25,30,20,3132,1,54.462
1,1.25,30,40,3132,1,75.888
1,1.25,30,-20,5040,1,31.084
1,1.25,30,20,5040,1,75.425
1,1.25,30,-20,1272,3.25,-14.746
1,1.25,30,20,1272,3.25,25.47
1,1.25,30,40,1272,3.25,45.592
1,1.25,30,-20,3132,3.25,-6.623
1,1.25,30,0,3132,3.25,13.627
1,1.25,30,20,3132,3.25,33.875
1,1.25,30,40,3132,3.25,54.132
1,1.25,30,-20,5040,3.25,2.009
1,1.25,30,0,5040,3.25,22.451
1,1.25,30,20,5040,3.25,42.868
1,1.25,30,-20,1272,5.5,-16.162
1,1.25,30,20,1272,5.5,23.934
1,1.25,30,40,1272,5.5,43.989
1,1.25,30,-20,3132,5.5,-10.433
1,1.25,30,0,3132,5.5,9.6694
1,1.25,30,40,3132,5.5,49.917
1,1.25,30,-20,5040,5.5,-4.3985
1,1.25,30,0,5040,5.5,15.764
1,1.25,30,20,5040,5.5,35.954
1,1.25,30,-20,1272,7.75,-16.813
1,1.25,30,20,1272,7.75,23.245
1,1.25,30,40,1272,7.75,43.277
1,1.25,30,-20,3132,7.75,-12.115
1,1.25,30,20,3132,7.75,28.018
1,1.25,30,40,3132,7.75,48.094
1,1.25,30,-20,5040,7.75,-7.2117
1,1.25,30,0,5040,7.75,12.88
1,1.25,30,20,5040,7.75,32.985
1,1.25,30,-20,1272,10,-17.206
1,1.25,30,20,1272,10,22.832
1,1.25,30,-20,3132,10,-13.112
1,1.25,30,0,3132,10,6.9283
1,1.25,30,20,3132,10,26.977
1,1.25,30,40,3132,10,47.032
1,1.25,30,-20,5040,10,-8.8695
1,1.25,30,0,5040,10,11.19
1,1.25,30,20,5040,10,31.264
1,1.25,30,40,5040,10,51.348
1,1.25,60,-20,1272,1,1.1336
1,1.25,60,0,1272,1,22.326
1,1.25,60,20,1272,1,43.562
1,1.25,60,-20,3132,1,32.363
1,1.25,60,20,3132,1,78.245
1,1.25,60,40,3132,1,101.28
1,1.25,60,-20,5040,1,63.71
1,1.25,60,0,5040,1,88.418
1,1.25,60,20,5040,1,113.22
1,1.25,60,40,5040,1,138.1
1,1.25,60,0,1272,3.25,8.2896
1,1.25,60,20,1272,3.25,28.581
1,1.25,60,40,1272,3.25,48.886
1,1.25,60,20,3132,3.25,41.546
1,1.25,60,40,3132,3.25,62.227
1,1.25,60,-20,5040,3.25,13.081
1,1.25,60,0,5040,3.25,34.136
1,1.25,60,40,5040,3.25,76.247
1,1.25,60,-20,1272,5.5,-14.445
1,1.25,60,0,1272,5.5,5.7002
1,1.25,60,40,1272,5.5,46.005
1,1.25,60,-20,3132,5.5,-6.1544
1,1.25,60,0,3132,5.5,14.181
1,1.25,60,20,3132,5.5,34.526
1,1.25,60,40,3132,5.5,54.894
1,1.25,60,-20,5040,5.5,2.5498
1,1.25,60,20,5040,5.5,43.63
1,1.25,60,-20,1272,7.75,-15.527
1,1.25,60,0,1272,7.75,4.5636
1,1.25,60,20,1272,7.75,24.659
1,1.25,60,40,1272,7.75,44.759
1,1.25,60,-20,3132,7.75,-8.9217
1,1.25,60,0,3132,7.75,11.288
1,1.25,60,20,3132,7.75,31.51
1,1.25,60,-20,5040,7.75,-2.0224
1,1.25,60,-20,1272,10,-16.146
1,1.25,60,0,1272,10,3.9106
1,1.25,60,20,1272,10,23.974
1,1.25,60,40,1272,10,44.043
1,1.25,60,-20,3132,10,-10.491
1,1.25,60,0,3132,10,9.6412
1,1.25,60,40,3132,10,49.959
1,1.25,60,-20,5040,10,-4.617
1,1.25,60,0,5040,10,15.581
1,1.25,60,40,5040,10,56.072
1,1.5,30,-20,1272,1,-6.9406
1,1.5,30,0,1272,1,13.556
1,1.5,30,20,1272,1,34.099
1,1.5,30,40,1272,1,54.677
1,1.5,30,-20,3132,1,12.848
1,1.5,30,20,3132,1,55.378
1,1.5,30,40,3132,1,76.75
1,1.5,30,-20,5040,1,32.687
1,1.5,30,0,5040,1,54.716
1,1.5,30,40,5040,1,99.087
1,1.5,30,-20,1272,3.25,-14.491
1,1.5,30,20,1272,3.25,25.706
1,1.5,30,40,1272,3.25,45.817
1,1.5,30,-20,3132,3.25,-5.9103
1,1.5,30,0,3132,3.25,14.315
1,1.5,30,20,3132,3.25,34.54
1,1.5,30,40,3132,3.25,54.771
1,1.5,30,0,5040,3.25,23.628
1,1.5,30,40,5040,3.25,64.383
1,1.5,30,0,1272,5.5,4.0884
1,1.5,30,-20,3132,5.5,-9.8848
1,1.5,30,0,3132,5.5,10.201
1,1.5,30,-20,5040,5.5,-3.4598
1,1.5,30,0,5040,5.5,16.67
1,1.5,30,20,5040,5.5,36.832
1,1.5,30,0,1272,7.75,3.3937
1,1.5,30,-20,3132,7.75,-11.65
1,1.5,30,20,3132,7.75,28.465
1,1.5,30,40,3132,7.75,48.533
1,1.5,30,-20,5040,7.75,-6.4227
1,1.5,30,0,5040,7.75,13.647
1,1.5,30,0,1272,10,2.975
1,1.5,30,20,1272,10,22.992
1,1.5,30,40,1272,10,43.013
1,1.5,30,-20,3132,10,-12.692
1,1.5,30,0,3132,10,7.3382
1,1.5,30,20,3132,10,27.377
1,1.5,30,40,3132,10,47.426
1,1.5,30,-20,5040,10,-8.169
1,1.5,30,0,5040,10,11.87
1,1.5,30,20,5040,10,31.924
1,1.5,30,40,5040,10,51.997
1.25,0.5,30,0,1272,1,9.8557
1.25,0.5,30,40,1272,1,51.159
1.25,0.5,30,-20,3132,1,2.7363
1.25,0.5,30,-20,5040,1,16.608
1.25,0.5,30,20,5040,1,61.531
1.25,0.5,30,-20,1272,3.25,-16.652
1.25,0.5,30,0,1272,3.25,3.4893
1.25,0.5,30,40,1272,3.25,43.786
1.25,0.5,30,-20,3132,3.25,-11.747
1.25,0.5,30,20,3132,3.25,28.939
1.25,0.5,30,0,5040,3.25,13.85
1.25,0.5,30,20,5040,3.25,34.395
1.25,0.5,30,40,5040,3.25,54.967
1.25,0.5,30,-20,1272,5.5,-17.677
1.25,0.5,30,0,1272,5.5,2.3878
1.25,0.5,30,20,1272,5.5,22.457
1.25,0.5,30,40,3132,5.5,46.222
1.25,0.5,30,0,5040,5.5,9.4687
1.25,0.5,30,20,5040,5.5,29.73
1.25,0.5,30,40,5040,5.5,50.01
1.25,0.5,30,0,1272,7.75,1.9203
1.25,0.5,30,40,1272,7.75,42.004
1.25,0.5,30,-20,3132,7.75,-15.367
1.25,0.5,30,0,3132,7.75,4.7243
1.25,0.5,30,20,3132,7.75,24.821
1.25,0.5,30,40,3132,7.75,44.928
1.25,0.5,30,-20,5040,7.75,-12.539
1.25,0.5,30,0,5040,7.75,7.6022
1.25,0.5,30,20,5040,7.75,27.758
1.25,0.5,30,40,5040,7.75,47.927
1.25,0.5,30,-20,1272,10,-18.37
1.25,0.5,30,0,1272,10,1.6539
1.25,0.5,30,20,1272,10,21.68
1.25,0.5,30,40,1272,10,41.709
1.25,0.5,30,-20,3132,10,-15.991
1.25,0.5,30,0,3132,10,4.0676
1.25,0.5,30,20,3132,10,24.131
1.25,0.5,30,40,3132,10,44.202
1.25,0.5,30,-20,5040,10,-13.55
1.25,0.5,30,0,5040,10,6.5429
1.25,0.5,30,20,5040,10,26.645
1.25,0.5,30,40,5040,10,46.757
1.25,0.75,30,-20,1272,1,-9.9834
1.25,0.75,30,0,1272,1,10.57
1.25,0.75,30,-20,3132,1,5.0813
1.25,0.75,30,0,3132,1,26.372
1.25,0.75,30,20,3132,1,47.72
1.25,0.75,30,40,3132,1,69.117
1.25,0.75,30,-20,5040,1,20.457
1.25,0.75,30,0,5040,1,42.532
1.25,0.75,30,40,5040,1,86.918
1.25,0.75,30,-20,1272,3.25,-16.031
1.25,0.75,30,0,1272,3.25,4.0819
1.25,0.75,30,20,1272,3.25,24.203
1.25,0.75,30,40,1272,3.25,44.331
1.25,0.75,30,-20,3132,3.25,-10.02
1.25,0.75,30,0,3132,3.25,10.222
1.25,0.75,30,0,5040,3.25,16.736
1.25,0.75,30,40,1272,5.5,43.017
1.25,0.75,30,-20,3132,5.5,-12.93
1.25,0.75,30,0,3132,5.5,7.1933
1.25,0.75,30,20,3132,5.5,27.325
1.25,0.75,30,40,3132,5.5,47.466
1.25,0.75,30,0,5040,5.5,11.7
1.25,0.75,30,20,5040,5.5,31.902
1.25,0.75,30,40,5040,5.5,52.116
1.25,0.75,30,-20,1272,7.75,-17.658
1.25,0.75,30,0,1272,7.75,2.3738
1.25,0.75,30,20,1272,7.75,22.408
1.25,0.75,30,-20,3132,7.75,-14.219
1.25,0.75,30,20,3132,7.75,25.941
1.25,0.75,30,40,3132,7.75,46.029
1.25,0.75,30,-20,5040,7.75,-10.646
1.25,0.75,30,0,5040,7.75,9.4748
1.25,0.75,30,20,5040,7.75,29.604
1.25,0.75,30,40,5040,7.75,49.743
