Session: pressure_sess_combinedset,,,,,,,,,,,,,,,,,,,,
Training Data: pressure_train    Observations: 3550,,,,,,,,,,,,,,,,,,,,
"Predictors: 6    Predictor Names: hc, wc, length, Tamb, Q, Uin",,,,,,,,,,,,,,,,,,,,
Response Name: PressurePaPressureProbe3,,,,,,,,,,,,,,,,,,,,
Validation: 10-fold cross-validation,,,,,,,,,,,,,,,,,,,,
Test Data: combined_pressure    Observations: 4176,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Favorite,Model Number,Model Type,Status,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation),MAE (Test),MSE (Test),RMSE (Test),RSquared (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Hyperparameters,Selected Features,Feature Ranking Algorithm,PCA,Optimizer Options
0,2.15,Efficient Linear,Tested,457.512348290445,209317.548838237,-0.0844536002162322,298.221055517131,295.546067273539,207311.020494624,455.314199750704,-0.0821849248777917,Efficient Linear SVM,40047.154113858,20.2115629,11144,Learner: SVM; Solver: Auto; Regularization: Auto; Regularization strength (Lambda): Auto; Relative coefficient tolerance (Beta tolerance): 0.0001; Epsilon: Auto,6/6,None,Disabled,Not applicable
0,2.16,Ensemble,Tested,79.9717885856184,6395.48696958285,0.966865612043546,48.5218028212211,47.416741875093,5830.37516011157,76.3568933372199,0.969564839873921,Boosted Trees,15836.3440974377,27.2076381,162559,Minimum leaf size: 8; Number of learners: 30; Learning rate: 0.1; Number of predictors to sample: Select All,6/6,None,Disabled,Not applicable
0,2.17,Ensemble,Tested,39.4841672599081,1558.9994642084,0.991922977356273,21.9822942850571,15.6170389731592,745.126033551378,27.2969967863019,0.99611036519564,Bagged Trees,5620.87469360295,39.7396268,2160067,Minimum leaf size: 8; Number of learners: 30; Number of predictors to sample: Select All,6/6,None,Disabled,Not applicable
0,2.18,Gaussian Process Regression,Tested,7.814869428675,61.0721841872391,0.999683591030076,4.10662302434438,3.19897781696511,41.8742425973474,6.47103103047322,0.999781412131534,Squared Exponential GPR,5053.96063946981,505.4271936,211566,Basis function: Constant; Kernel function: Squared Exponential; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.19,Gaussian Process Regression,Tested,9.63840694175225,92.8988883748179,0.999518700010996,4.2550862455326,1.28220360298323,14.3947344677934,3.79403933398079,0.999924858000306,Matern 5/2 GPR,3945.16290244412,797.6934082,211546,Basis function: Constant; Kernel function: Matern 5/2; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.20,Gaussian Process Regression,Tested,29.5232274565837,871.62095945318,0.995484217674298,13.8794761834999,2.05839742566175,119.953976675958,10.9523502809195,0.999373827860535,Exponential GPR,6548.36446757831,691.8663163,211552,Basis function: Constant; Kernel function: Exponential; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.21,Gaussian Process Regression,Tested,7.76231762942919,60.2535749801472,0.999687832163735,3.89825644754546,2.51414035070704,30.1317617256201,5.48924054178901,0.999842709093701,Rational Quadratic GPR,6221.67385810377,1151.4400574,211597,Basis function: Constant; Kernel function: Rational Quadratic; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.22,Neural Network,Tested,47.0754146266285,2216.09466226899,0.988518631866959,33.599164771801,23.6971407233081,1049.82129745348,32.4009459345476,0.994519824468525,Narrow Neural Network,30513.7746054913,522.5001184,5832,Number of fully connected layers: 1; First layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.23,Neural Network,Tested,32.8606929797547,1079.8251431097,0.994405532309409,22.0550119681582,25.3887364494329,1425.05879122422,37.74995087711,0.992561046020381,Medium Neural Network,43386.1218184529,546.0076078,6792,Number of fully connected layers: 1; First layer size: 25; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.24,Neural Network,Tested,6.75016741994323,45.5647601972631,0.999763933466099,4.8192320790488,5.41565536165251,55.9130549078985,7.47750325362005,0.999708128082237,Wide Neural Network,41071.3252733268,667.6496585,11592,Number of fully connected layers: 1; First layer size: 100; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.25,Neural Network,Tested,36.1878149644918,1309.55795190429,0.993215309258509,24.8415524941041,26.0817368194619,1307.00306673886,36.1524973790036,0.99317730908748,Bilayered Neural Network,45883.8917812256,693.1627475,7632,Number of fully connected layers: 2; First layer size: 10; Second layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.26,Neural Network,Tested,38.2095868974232,1459.97253087173,0.992436026142537,24.300087337134,13.6949101964777,395.631630953955,19.8904909681474,0.99793476205075,Trilayered Neural Network,41300.3442470947,724.6067879,9432,Number of fully connected layers: 3; First layer size: 10; Second layer size: 10; Third layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.27,Kernel,Tested,349.489150345319,122142.666209093,0.367190878903203,182.163676666697,177.928201887592,120791.657129654,347.550941776388,0.369455082103998,SVM Kernel,22924.7158788206,699.461543,10446,Learner: SVM; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Epsilon: Auto; Standardize data: Yes; Iteration limit: 1000,6/6,None,Disabled,Not applicable
0,2.28,Kernel,Tested,106.035235426189,11243.4711518874,0.941748683580207,69.239306801798,71.916158325013,11932.1441986632,109.234354480004,0.937712975690088,Least Squares Regression Kernel,30666.6850954727,703.0845288,10376,Learner: Least Squares Kernel; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Standardize data: Yes; Iteration limit: 1000,6/6,None,Disabled,Not applicable
