Session: untitled,,,,,,,,,,,,,,,,,,,,
Training Data: temp_train    Observations: 3550,,,,,,,,,,,,,,,,,,,,
"Predictors: 6    Predictor Names: hc, wc, length, Tamb, Q, Uin",,,,,,,,,,,,,,,,,,,,
Response Name: TemperaturedegCStackTemperatureProbe1,,,,,,,,,,,,,,,,,,,,
Validation: 10-fold cross-validation,,,,,,,,,,,,,,,,,,,,
Test Data: temp_test    Observations: 626,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Favorite,Model Number,Model Type,Status,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation),MAE (Test),MSE (Test),RMSE (Test),RSquared (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Hyperparameters,Selected Features,Feature Ranking Algorithm,PCA,Optimizer Options
0,2.17,Ensemble,Tested,3.17479655406163,10.0793331596816,0.987254272179644,1.8306324689558,1.87312562725109,10.52513119185,3.24424585872433,0.987173391878167,Bagged Trees,5581.30291821961,55.3326917,2266999,Minimum leaf size: 8; Number of learners: 30; Number of predictors to sample: Select All,6/6,None,Disabled,Not applicable
0,2.18,Gaussian Process Regression,Tested,0.222295573054285,0.0494153217995331,0.999937512310405,0.14055041958247,0.136461994972547,0.0509939439812038,0.225818387163676,0.999937855469532,Squared Exponential GPR,5429.32751431775,1113.4069639,211566,Basis function: Constant; Kernel function: Squared Exponential; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.19,Gaussian Process Regression,Tested,0.330962664989473,0.109536285616934,0.999861486899896,0.167862131591607,0.158981985357929,0.110318450268027,0.332142213920524,0.99986555877505,Matern 5/2 GPR,5411.68436007976,1324.6851395,211546,Basis function: Constant; Kernel function: Matern 5/2; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.20,Gaussian Process Regression,Tested,1.82692828690565,3.33766696549602,0.995779384010504,0.857549541084805,0.82659382858428,2.68258234191114,1.63785907266503,0.996730831015115,Exponential GPR,4901.5350641321,731.1488584,211552,Basis function: Constant; Kernel function: Exponential; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.21,Gaussian Process Regression,Tested,0.219998779318857,0.0483994629017873,0.999938796905408,0.139417102680973,0.133415410792188,0.049102547859173,0.221590947150765,0.999940160447628,Rational Quadratic GPR,6697.38155020423,2128.268141,211597,Basis function: Constant; Kernel function: Rational Quadratic; Use isotropic kernel: Yes; Kernel scale: Automatic; Signal standard deviation: Automatic; Sigma: Automatic; Standardize data: Yes; Optimize numeric parameters: Yes,6/6,None,Disabled,Not applicable
0,2.22,Neural Network,Tested,1.00101824234781,1.00203752151309,0.998732882690486,0.687385576445082,0.908559008169081,1.91132720206747,1.38250757758049,0.997670732595476,Narrow Neural Network,34090.9854791608,735.0056176,5832,Number of fully connected layers: 1; First layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.23,Neural Network,Tested,0.578193714540619,0.334307971534279,0.999577253936759,0.385941469384317,0.467183214422509,0.434833648509264,0.659419175114937,0.999470083488182,Medium Neural Network,50349.3964454744,755.4490777,6792,Number of fully connected layers: 1; First layer size: 25; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.24,Neural Network,Tested,0.229622928981987,0.0527266895142669,0.99993332495089,0.150972089238511,0.136904932424296,0.0324107142028156,0.180029759214458,0.999960502199692,Wide Neural Network,42619.6561854327,879.5456953,11592,Number of fully connected layers: 1; First layer size: 100; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.25,Neural Network,Tested,0.783354948689055,0.613644975635632,0.999224020903579,0.552944737007519,0.496775241808395,0.506272504885671,0.711528288183731,0.999383023460263,Bilayered Neural Network,45976.356496783,904.3598403,7632,Number of fully connected layers: 2; First layer size: 10; Second layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.26,Neural Network,Tested,0.796802954364666,0.63489494808426,0.999197149446833,0.555458818964209,0.448210573092897,0.410468887358271,0.640678458634494,0.999499775967788,Trilayered Neural Network,51929.1306332136,936.6081234,9432,Number of fully connected layers: 3; First layer size: 10; Second layer size: 10; Third layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.27,Kernel,Tested,10.1884836773563,103.805199643756,0.868734091825692,5.1561811632176,5.12099683818079,102.155860691975,10.1072182469745,0.875506236591218,SVM Kernel,31707.2996455928,941.4788624,10446,Learner: SVM; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Epsilon: Auto; Standardize data: Yes; Iteration limit: 1000,6/6,None,Disabled,Not applicable
0,2.28,Kernel,Tested,5.5982892608098,31.3408426476983,0.960368226377708,3.79522030096297,3.54969063056764,28.6241207915527,5.35015147370172,0.965116788234472,Least Squares Regression Kernel,58155.05940826,943.0617122,10376,Learner: Least Squares Kernel; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Standardize data: Yes; Iteration limit: 1000,6/6,None,Disabled,Not applicable
